subject,vowel,f0,f1,f2,f3
subj15,EE,285.31022914749,336.614177357067,2658.13112571023,3069.48643909801
subj15,EH,233.052977569402,943.486694335938,1802.71508789062,2827.61923828125
subj15,EH,237.413389809618,928.609893798828,1827.79086303711,2818.35510253906
subj15,EH,247.069466858274,939.12495640346,1892.65222167969,2774.78491210938
subj15,EH,248.687378038426,968.919172014509,1921.83274623326,2821.5340750558
subj15,EH,249.393010474881,960.139500209263,1979.95640345982,2954.97474888393
subj15,EH,250.295339779411,916.460620117188,1996.125,3029.75219726562
subj15,EH,252.464796504047,957.161804199219,1871.32318115234,2808.77255249023
subj15,EH,252.672048155248,968.889671325684,1790.89823913574,2892.53677368164
subj15,EH,257.184424002819,983.598327636719,1803.13083224826,2769.36387803819
subj15,EH,257.307587010368,1007.97131347656,1895.00389099121,2895.16970825195
subj15,IH,240.790575916594,598.412272135417,2017.89501953125,2805.80466037326
subj15,IH,242.116066181354,604.511240641276,2013.22717285156,2785.95939127604
subj15,IH,244.347839029021,581.654736328125,2169.39194335938,2838.5962890625
subj15,IH,246.748991629982,552.164053780692,2077.16326032366,2861.71383231027
subj15,IH,256.315682551199,566.334665934245,2027.8573811849,2705.70284016927
subj15,IH,258.616211164019,590.333760579427,2009.18615722656,2785.06176757812
subj15,IH,260.028550879349,611.31455078125,2067.02041015625,2789.97182617187
subj15,IH,260.029394879488,615.559448242188,2023.18729073661,2784.60274832589
subj15,IH,275.883304455177,628.695760091146,2100.40130615234,2881.748046875
subj15,IH,279.872029728596,628.865914481027,2033.94648088728,2758.1651436942
subj15,OO,262.074546203503,450.400394015842,1305.41239420573,2602.44856770833
subj15,OO,262.558632201966,491.701148139106,1293.7346733941,2630.71194118924
subj15,OO,264.902873201012,476.354112413194,1192.7154812283,2603.25610351562
subj15,OO,266.552043920061,413.856636047363,1286.78132629395,2664.90997314453
subj15,OO,270.537646274883,440.053605513139,1200.82466264205,2573.53966175426
subj15,OO,274.848308000832,369.807852608817,1136.68000139509,2655.4493233817
subj15,OO,275.304371158478,424.14931973544,1185.65634987571,2617.94646661932
subj15,OO,280.918736270883,403.936557769775,1211.96694946289,2572.22344970703
subj15,OO,281.699020651661,351.54636976454,1158.71478949653,2613.59762912326
subj15,OO,289.934289819031,327.03439839681,1164.4434000651,2626.69262695312
subj15,UH,238.034025890946,899.760398864746,1453.0705871582,2962.18341064453
subj15,UH,241.186914475894,864.043701171875,1422.06727600098,2998.19024658203
subj15,UH,242.267914716113,895.252172851562,1376.12990722656,2896.22885742188
subj15,UH,247.58583196533,891.15532430013,1350.9883219401,2948.94173177083
subj15,UH,249.398214418854,906.877716064453,1330.49966430664,2911.39532470703
subj15,UH,251.986340430961,901.987874348958,1457.63240559896,2897.22139485677
subj15,UH,253.603575065981,897.754504394531,1473.71376953125,2940.24375
subj15,UH,257.709545240606,908.729431152344,1433.41263834635,2804.94254557292
subj15,UH,257.709776514404,849.39365641276,1485.05423990885,2972.80631510417
subj15,UH,259.258840419378,897.481079101562,1437.73931884766,2801.19195556641
subj16,AE,223.435871662589,1100.58563232422,2275.69248962402,3366.10273742676
subj16,AE,233.858561828767,1115.09046936035,2224.63832600911,3321.90657552083
subj16,AE,235.151589777891,1066.29704015395,2175.78191061581,3012.52116842831
subj16,AE,235.594318167993,956.048152923584,2105.22541809082,2971.69779968262
subj16,AE,235.663347049452,1025.68513371394,2308.84309269832,2970.72143554688
subj16,AE,244.285741904818,1049.01979282924,2247.68394252232,3099.40021623884
subj16,AE,249.778537942783,1038.49817911784,2227.0737508138,3166.39040120443
subj16,AE,251.801175574628,1031.5342595027,2239.6767202524,3190.16329251803
subj16,AE,251.870916942485,1020.66124131944,2204.22852918837,3161.01255967882
subj16,AE,264.372858851323,1077.77669270833,2201.32332356771,2892.37060546875
subj16,AH,209.994774176107,1143.37802124023,1446.00427246094,2616.10569254557
subj16,AH,219.756557714453,1158.75755896935,1569.72943584736,2829.70380108173
subj16,AH,226.582288980723,1175.35414475661,1548.4189453125,2685.61386343149
subj16,AH,228.009309208762,1153.36225773738,1624.47082519531,2730.42703951322
